48,156,77,113,156,156,83,97,115,156,156,222,156,63,53,82,38,156,134,156,156,156,153,121,206,43,289,94,107,107,223,156,156,87,134,156,156,66,156,51,350,156,156,113,176,156,156,156,156,33,156,284,87,97,48,156,289,65,50,125,103,90,134,48,156,156,121,134,72,156,48,65,53,156,156,84,156,156,156,156,256,156,71,65,156,124,84,18,156,156,72,71,69,156,145,65,156,156,79,72
156,156,72,156,111,240,289,68,156,156,156,289,96,225,71,156,156,253,156,137,284,289,156,156,156,289,156,156,156,156,289,156,139,131,156,156,156,156,289,156,156,121,289,156,230,156,156,210,70,156,289,156,156,156,156,156,219,156,156,156,156,156,92,289,110,121,156,156,156,156,289,156,156,244,156,156,289,156,65,140,156,167,289,277,156,156,156,156,156,289,156,156,289,156,561,195,289,156,128,61
289,289,156,277,156,289,156,156,156,156,289,874,289,156,289,96,140,156,156,156,289,289,658,156,156,156,225,658,99,79,140,343,320,289,156,126,289,156,350,163,118,156,156,304,289,149,156,156,156,156,285,176,156,289,156,156,221,210,124,156,156,289,156,177,156,769,156,156,289,289,156,156,289,289,89,289,156,163,156,942,350,156,156,603,523,156,273,289,156,289,199,156,156,156,156,460,156,133,289,72
289,543,156,156,1778,289,289,156,176,225,289,697,342,225,289,289,245,156,289,658,156,156,289,156,289,167,289,156,473,460,156,734,156,156,289,156,289,248,520,385,2143,289,289,225,769,289,225,156,289,289,289,199,658,289,156,156,156,342,156,156,1106,289,1089,289,191,156,2184,310,401,962,595,289,240,156,225,289,658,156,289,225,121,350,697,156,180,289,646,289,181,546,350,460,1533,156,2082,658,1334,195,156,436
289,156,697,756,289,289,156,709,304,412,287,422,658,289,2184,326,658,1880,1880,227,156,156,329,289,289,146,289,186,289,177,289,289,156,156,766,289,2665,350,350,3225,289,595,285,289,297,1282,1540,658,658,176,289,289,289,289,646,658,289,289,176,598,289,674,156,156,289,913,2077,156,477,289,1282,134,460,1564,225,1038,156,1519,289,289,289,3157,156,987,757,289,1397,550,289,289,289,283,252,277,350,856,546,448,697,452
1625,289,548,2736,605,658,289,1535,289,297,289,289,289,1654,289,289,1638,610,1880,252,646,704,1057,289,465,885,289,1370,289,1450,1432,221,2184,350,289,225,751,1096,289,460,215,195,1190,769,289,2698,212,1068,658,606,289,1262,413,1183,418,289,662,1262,2652,2060,413,1096,697,289,289,156,156,289,728,243,584,289,289,350,1880,245,156,210,156,658,289,247,289,614,225,1738,489,125,275,289,536,658,973,289,1738,933,228,1893,215,558
1349,289,329,942,289,373,1654,289,2184,4628,756,289,156,164,942,460,228,289,289,177,225,289,996,326,156,763,2184,215,870,289,156,195,289,335,753,289,658,766,479,1154,2184,156,289,289,252,457,289,3157,289,2736,1792,460,289,614,901,697,289,289,289,1871,596,258,2935,289,289,567,289,289,658,212,1778,987,282,366,436,590,289,156,2185,3170,408,2279,4053,1911,289,289,289,289,1432,436,1625,2736,289,758,289,289,942,289,156,289
658,289,1778,449,2736,4456,156,2743,1654,289,1041,289,350,888,225,658,206,1177,1815,2184,2784,629,289,1042,1778,1481,942,289,289,662,1517,1315,284,1801,229,289,335,374,7204,658,948,289,562,636,2622,2736,2720,381,658,3561,289,460,753,289,2736,289,941,289,2184,285,156,289,2077,2184,1282,289,381,448,2736,195,460,566,2184,1041,289,289,289,652,289,1607,651,261,389,1360,401,420,586,1654,124,2234,746,658,972,448,289,1607,646,1126,2424,1903
963,394,4952,2184,607,225,289,156,289,156,2396,3101,1778,2184,1432,2184,541,289,2736,2477,2184,289,2184,720,1414,2736,289,2669,1895,1778,3941,289,3363,939,773,1739,2184,289,1199,523,449,2137,156,289,658,699,233,1880,289,325,907,289,2736,252,2184,912,697,697,353,289,350,289,4184,866,2184,1010,289,1654,297,289,1736,1096,289,1694,350,289,852,1254,246,777,793,546,1027,1778,405,156,1432,2736,1553,1756,504,1037,289,1412,289,272,1935,289,2014,3988
924,599,280,2184,296,779,338,289,328,289,289,3079,2736,460,350,1146,1916,156,2279,2622,1082,4456,614,460,1883,1233,658,1519,2310,1981,460,1499,1320,1600,753,570,1197,737,1229,2052,1654,1481,334,2736,2698,1998,289,449,2976,2184,1654,294,331,289,289,704,2145,2184,789,2710,662,1667,245,563,289,2698,2184,1778,1654,1736,1484,2077,1959,1523,460,3283,289,4097,1048,2184,1979,2396,289,436,2710,448,156,576,695,3283,3246,3208,1778,1880,3124,1954,289,636,1248,697
4456,904,1096,289,2052,385,1166,2184,2065,794,1096,289,333,1394,288,2378,2184,289,289,862,2947,2736,1196,561,1880,289,1432,460,2592,344,566,1103,2396,1082,419,1790,614,2184,1685,305,2736,1209,2438,2380,684,289,3283,3225,3698,1516,350,3821,2710,2182,3659,1370,754,952,1357,3266,4352,2256,697,646,548,3330,289,177,2736,289,1895,156,289,410,4456,3301,614,708,289,1654,655,697,1912,4456,2736,5588,1470,289,1096,1331,289,289,646,289,1894,289,882,221,466,3225
646,289,4100,1365,634,793,1282,2281,191,1782,1096,3225,2736,2698,774,370,4388,627,1339,4456,4456,340,289,2125,3748,405,1005,1880,1286,289,1443,3283,2736,614,2184,955,475,1778,2234,3225,875,697,3458,3748,366,2837,756,658,1439,195,2644,1622,3283,3751,697,2659,1056,1082,1296,1274,2184,1941,1818,1430,1985,1324,2612,4037,1621,225,2204,2606,3602,987,1767,1279,1778,2736,1654,1839,1968,2893,436,2378,2351,558,2736,763,1995,1696,1654,3894,1248,2736,2081,1086,879,697,288,676
1604,460,997,3266,1474,2329,4456,1332,341,1113,2566,2604,3950,774,697,1118,629,1266,1081,1654,1654,2736,1654,876,1099,3174,2736,1493,864,2077,3073,870,2184,2184,1778,2736,1516,3905,329,932,3950,546,662,973,2053,3198,1096,2540,1593,3283,658,1481,2736,2322,813,769,289,1654,1271,3157,289,1274,348,1640,2184,2604,2184,3665,3225,577,2184,644,1096,1561,350,1010,289,1253,3720,700,4645,2736,1431,2698,2234,4570,2736,557,2184,2736,2476,339,658,2710,1620,1096,1310,350,4560,3736
1541,1925,4456,1078,2234,2736,776,4218,760,2698,3748,4456,350,1096,3079,807,2184,289,1778,1654,5083,644,948,1928,3745,5083,2736,942,2635,3950,1912,2996,763,289,3927,1778,2584,911,952,2005,5083,646,2184,986,3157,2184,350,818,544,1165,289,1078,1880,2448,1096,3156,769,2453,1119,2184,3283,1399,4456,1010,350,195,3301,289,289,4456,2970,2184,3954,949,1880,2443,1096,1985,2186,2080,2736,2486,342,2218,2184,523,2053,1096,985,1654,1096,1978,2736,1420,816,2520,2736,3011,2736,3006
847,289,1096,1871,4454,1181,5083,911,289,289,4456,670,2736,1871,6432,289,3748,2029,7204,906,1654,477,2736,2689,1648,1401,289,279,485,1279,769,1755,2736,1516,3356,2322,1397,677,595,387,1443,1080,2736,4456,2038,2184,5083,2736,333,350,1502,1366,2081,255,2698,4456,2818,2736,942,1536,5083,2077,1121,2584,793,1096,793,2401,3618,436,289,1481,2710,350,1922,658,936,3038,2307,289,7204,1961,1878,704,381,448,523,1443,1856,4022,3905,2736,1919,2184,1873,1096,611,1596,3225,2380
1430,772,2234,2126,289,1907,289,2322,1329,1645,3246,561,1395,1202,3769,1542,2184,1096,658,959,793,819,697,289,4519,2211,697,2329,2609,6081,948,460,1132,1132,5972,448,2732,1096,690,816,2736,792,1282,4456,3268,1880,2736,1374,1470,286,755,1654,2241,5758,2652,3076,2125,5031,289,1690,2908,289,910,2736,1911,2184,3977,3097,4241,2184,1640,3283,4097,1096,791,3099,981,2323,3950,1108,2184,2358,5083,1532,3608,1912,4864,459,2184,1778,815,1801,793,2136,1231,4097,2698,2077,1013,4456
